name	sex	n
Albion	flickor	NA
Albion	pojkar	2
Albiona	flickor	NA
Albiona	pojkar	NA
Albulena	flickor	NA
Albulena	pojkar	NA
Albus	flickor	NA
Albus	pojkar	9
Alda	flickor	6
Alda	pojkar	NA
Aldar	flickor	NA
Aldar	pojkar	NA
Alde	flickor	5
Alde	pojkar	4
Alden	flickor	NA
Alden	pojkar	NA
Aldiana	flickor	NA
Aldiana	pojkar	NA
Aldijana	flickor	NA
Aldijana	pojkar	NA
Aldin	flickor	NA
Aldin	pojkar	13
Aldina	flickor	NA
Aldina	pojkar	NA
Aldion	flickor	NA
Aldion	pojkar	NA
Aldis	flickor	NA
Aldis	pojkar	NA
Aldo	flickor	NA
Aldo	pojkar	3
Aldor	flickor	NA
Aldor	pojkar	2
Aldrin	flickor	NA
Aldrin	pojkar	2
Ale	flickor	NA
Ale	pojkar	9
Alea	flickor	40
Alea	pojkar	NA
Aléa	flickor	3
Aléa	pojkar	NA
Aleah	flickor	13
Aleah	pojkar	NA
